symbol,hurst,autocorr_1d,var_ratio_5d,var_ratio_10d,dip_recovery,n_dips,dips_per_year,avg_dollar_vol_M,ann_vol,spy_corr,beta,composite_score
V,0.546,-0.0166,0.938,0.83,0.925,106,21.9,2435.0,0.224,0.646,0.85,82.0
MSFT,0.584,-0.0028,0.88,0.83,0.921,101,20.3,14072.0,0.261,0.741,1.14,73.3
AVGO,0.549,-0.0111,0.95,0.859,0.963,81,16.3,8597.0,0.423,0.647,1.61,73.0
MA,0.568,0.0115,0.952,0.836,0.914,116,23.7,1966.0,0.238,0.67,0.94,71.3
META,0.533,-0.0197,0.951,0.886,0.867,98,20.5,9323.0,0.435,0.62,1.59,65.7
CRM,0.525,0.0066,0.972,0.888,0.893,112,22.5,2405.0,0.359,0.611,1.29,65.1
JPM,0.562,0.0271,1.036,1.02,0.892,102,20.9,3229.0,0.243,0.629,0.9,64.7
SBUX,0.554,-0.0285,0.924,0.81,0.825,114,23.1,844.0,0.312,0.541,0.99,62.0
QCOM,0.571,-0.0824,0.852,0.812,0.858,120,25.1,1416.0,0.378,0.7,1.56,59.7
GS,0.574,0.0616,1.025,1.039,0.935,92,19.1,2134.0,0.276,0.69,1.12,59.6
CMCSA,0.527,-0.0136,0.889,0.795,0.812,117,24.3,906.0,0.259,0.462,0.7,59.4
HON,0.599,-0.0065,0.95,0.94,0.908,109,22.9,929.0,0.214,0.621,0.78,58.4
AMD,0.598,-0.0139,0.948,0.964,0.907,107,21.5,7688.0,0.532,0.649,2.03,55.4
XOM,0.572,0.0167,0.956,0.866,0.884,86,17.3,2844.0,0.265,0.329,0.51,53.3
CVX,0.57,0.0255,1.011,1.02,0.859,85,17.1,2057.0,0.25,0.391,0.58,50.4
NKE,0.593,-0.0339,0.954,0.954,0.78,159,32.9,1041.0,0.35,0.534,1.1,48.7
MRK,0.544,0.0101,1.046,1.024,0.879,116,23.5,1319.0,0.233,0.21,0.29,48.1
JNJ,0.572,-0.0254,0.94,0.965,0.844,128,26.1,1924.0,0.167,0.2,0.2,47.3
DIS,0.593,0.0073,1.029,1.098,0.832,137,28.3,1195.0,0.29,0.601,1.03,46.4
INTC,0.57,-0.0111,0.985,1.002,0.791,115,23.1,4680.0,0.48,0.505,1.43,45.9
ORCL,0.599,0.0043,0.968,0.93,0.857,126,25.3,4354.0,0.398,0.486,1.14,44.1
WMT,0.588,0.048,1.028,0.974,0.907,86,17.7,3670.0,0.211,0.355,0.44,42.7
HD,0.619,0.0013,0.997,0.955,0.826,109,23.3,1461.0,0.237,0.6,0.84,41.1
MCD,0.594,0.0021,0.973,0.901,0.867,113,23.1,994.0,0.17,0.394,0.4,39.9
BAC,0.592,0.0848,1.128,1.14,0.818,121,24.7,2065.0,0.269,0.621,0.98,39.3
ADBE,0.596,0.0162,1.049,1.03,0.853,143,28.7,1552.0,0.355,0.606,1.27,37.7
LLY,0.606,0.0053,1.027,1.024,0.867,90,18.9,3107.0,0.321,0.312,0.59,37.6
BA,0.599,0.0049,1.039,1.036,0.831,124,26.1,1672.0,0.362,0.528,1.13,37.1
COST,0.629,0.0108,0.964,0.999,0.824,91,18.7,2141.0,0.226,0.564,0.75,36.0
CAT,0.606,0.0466,1.058,1.09,0.852,88,17.9,1877.0,0.296,0.574,1.0,35.6
UNH,0.596,0.0382,1.086,1.068,0.883,128,25.7,2644.0,0.312,0.235,0.43,33.1
NFLX,0.583,0.0271,1.093,1.107,0.777,112,22.5,4185.0,0.43,0.488,1.23,31.3
PFE,0.608,-0.01,0.994,0.992,0.774,133,26.7,1167.0,0.254,0.277,0.42,30.7
UPS,0.583,0.0499,1.067,0.992,0.741,112,23.7,639.0,0.282,0.505,0.84,29.0
ABBV,0.614,0.0441,1.039,1.046,0.859,99,20.7,1466.0,0.226,0.258,0.34,26.1
